formula,model,train_mse,in_range_mse,extrap_mse,elapsed_seconds
"exp(x_0) - log(x_1 + 2)",Hybrid,0.1479945515376504,0.15278438189119464,0.13481825333391553,486.1266222000122
"exp(x_0) - log(x_1 + 2)",LightGBM,0.0008673053606314536,0.0022048549381988337,4.950560250573044,0.38986706733703613
"exp(x_0) - log(x_1 + 2)",XGBoost,0.0001238458045703833,0.00243310670606884,4.899882390230986,0.2897980213165283
"x_0 + x_1",Hybrid,0.13859913557511866,0.18294950536414958,4.586887995692173,486.28192496299744
"x_0 + x_1",LightGBM,0.0009506909205752637,0.0035919985603644904,1.5958601371515142,0.21654844284057617
"x_0 + x_1",XGBoost,0.0001458873207343655,0.0033599705456193595,1.27793103361384,0.10488057136535645
"x_0 * x_1",Hybrid,0.10994950644406379,0.12166309868187984,3.0614846239089375,487.38062739372253
"x_0 * x_1",LightGBM,0.0018664646727161443,0.003517217840063428,2.445227250641955,0.20412135124206543
"x_0 * x_1",XGBoost,0.00022111344087809442,0.003912179441433644,2.497094585358395,0.17228412628173828
