dataset,seed,config,rmse,fit_time,n_rounds
192_vineyard,0,M20,2.566017173072965,0.7325944900512695,28
192_vineyard,0,M30,2.566017173072965,0.04738187789916992,28
192_vineyard,0,M40,2.3940507269875555,0.0025513172149658203,16
192_vineyard,0,M50,2.3940507269875555,0.004210233688354492,16
192_vineyard,0,lightgbm,2.394869161744873,0.1886885166168213,0
192_vineyard,0,xgboost,3.031196594024718,0.1947171688079834,0
192_vineyard,1,M20,2.4746647059581672,0.08162856101989746,54
192_vineyard,1,M30,2.4746647059581672,0.08858561515808105,54
192_vineyard,1,M40,2.6207781310901375,0.0024657249450683594,16
192_vineyard,1,M50,2.6207781310901375,0.002412080764770508,16
192_vineyard,1,lightgbm,2.416480515587269,0.16876602172851562,0
192_vineyard,1,xgboost,3.420572478992733,0.18745636940002441,0
192_vineyard,2,M20,3.1206784043730895,0.05411338806152344,35
192_vineyard,2,M30,3.1206784043730895,0.050168514251708984,35
192_vineyard,2,M40,4.533681212858299,0.002463102340698242,16
192_vineyard,2,M50,4.533681212858299,0.002371549606323242,16
192_vineyard,2,lightgbm,4.522330858519903,0.15378856658935547,0
192_vineyard,2,xgboost,3.4648272150676624,0.150010347366333,0
210_cloud,0,M20,0.8131508184319459,0.5531859397888184,48
210_cloud,0,M30,0.7573403483102089,0.34870028495788574,42
210_cloud,0,M40,0.7460522918663641,0.25408148765563965,36
210_cloud,0,M50,0.7460522918663641,0.25317835807800293,36
210_cloud,0,lightgbm,0.7733878259954807,0.18552446365356445,0
210_cloud,0,xgboost,0.6548276624528223,0.17319536209106445,0
210_cloud,1,M20,0.29051745974047355,0.4455602169036865,40
210_cloud,1,M30,0.3121946819400922,0.43866610527038574,53
210_cloud,1,M40,0.44712417866133003,0.33051276206970215,45
210_cloud,1,M50,0.44712417866133003,0.3164710998535156,45
210_cloud,1,lightgbm,0.5469451649561609,0.17023873329162598,0
210_cloud,1,xgboost,0.2667452676137936,0.17653465270996094,0
210_cloud,2,M20,0.4474229999050962,0.3399078845977783,30
210_cloud,2,M30,0.4744738741651111,0.2242581844329834,27
210_cloud,2,M40,0.47321999342677645,0.1979987621307373,28
210_cloud,2,M50,0.47321999342677645,0.19893360137939453,28
210_cloud,2,lightgbm,0.49894731949600557,0.17451071739196777,0
210_cloud,2,xgboost,0.48159494104900924,0.1771245002746582,0
523_analcatdata_neavote,0,M20,0.7373266858319377,0.16858720779418945,40
523_analcatdata_neavote,0,M30,0.7373266858319377,0.16359186172485352,40
523_analcatdata_neavote,0,M40,0.7242578463819498,0.08620381355285645,44
523_analcatdata_neavote,0,M50,0.7242578463819498,0.08564090728759766,44
523_analcatdata_neavote,0,lightgbm,0.7221038321376677,0.16895222663879395,0
523_analcatdata_neavote,0,xgboost,0.7684598681048703,0.13088488578796387,0
523_analcatdata_neavote,1,M20,1.125065400598164,0.3496131896972656,80
523_analcatdata_neavote,1,M30,1.125065400598164,0.337383508682251,80
523_analcatdata_neavote,1,M40,1.1798145457669924,0.22226810455322266,115
523_analcatdata_neavote,1,M50,1.1970688721668508,0.2198035717010498,115
523_analcatdata_neavote,1,lightgbm,1.0406932815404664,0.17688226699829102,0
523_analcatdata_neavote,1,xgboost,2.22081430199804,0.06747293472290039,0
523_analcatdata_neavote,2,M20,0.9345916934781971,0.210221529006958,51
523_analcatdata_neavote,2,M30,0.9345916934781971,0.20727109909057617,51
523_analcatdata_neavote,2,M40,0.8855539552838817,0.10237240791320801,51
523_analcatdata_neavote,2,M50,0.8855539552838817,0.10034751892089844,51
523_analcatdata_neavote,2,lightgbm,0.8304391298325919,0.17289519309997559,0
523_analcatdata_neavote,2,xgboost,2.131466986818319,0.061981201171875,0
557_analcatdata_apnea1,0,M20,1391.0324179702957,6.151576280593872,120
557_analcatdata_apnea1,0,M30,1314.4994587764113,6.464935302734375,156
557_analcatdata_apnea1,0,M40,1279.5380621363215,6.543812036514282,171
557_analcatdata_apnea1,0,M50,1325.1912723580972,7.67342734336853,200
557_analcatdata_apnea1,0,lightgbm,1375.5553014212694,0.21081304550170898,0
557_analcatdata_apnea1,0,xgboost,1137.8163504544639,0.1486358642578125,0
557_analcatdata_apnea1,1,M20,923.6923725301713,2.309004783630371,44
557_analcatdata_apnea1,1,M30,870.6016797622441,2.9051144123077393,69
557_analcatdata_apnea1,1,M40,903.6694839112656,2.8785860538482666,74
557_analcatdata_apnea1,1,M50,895.7620193648299,2.7075555324554443,72
557_analcatdata_apnea1,1,lightgbm,1028.066149528084,0.21273493766784668,0
557_analcatdata_apnea1,1,xgboost,874.7259138465122,0.21756935119628906,0
557_analcatdata_apnea1,2,M20,1661.5422185604257,2.187634229660034,41
557_analcatdata_apnea1,2,M30,1683.1970282417847,2.333205461502075,56
557_analcatdata_apnea1,2,M40,1733.8316169339803,2.6231143474578857,66
557_analcatdata_apnea1,2,M50,1663.0948079069028,3.3437142372131348,85
557_analcatdata_apnea1,2,lightgbm,1728.9515719304582,0.21185302734375,0
557_analcatdata_apnea1,2,xgboost,1358.6742417938733,0.15481925010681152,0
529_pollen,0,M20,1.5649181001710994,8.955409049987793,69
529_pollen,0,M30,1.5641525313663212,8.70282506942749,79
529_pollen,0,M40,1.5618087055665437,7.148860454559326,70
529_pollen,0,M50,1.5702854495332963,7.735527992248535,79
529_pollen,0,lightgbm,1.599968512519323,0.30117321014404297,0
529_pollen,0,xgboost,1.611287235328607,0.2308497428894043,0
529_pollen,1,M20,1.5395949922165986,8.364551782608032,55
529_pollen,1,M30,1.5199852664270976,8.578401327133179,86
529_pollen,1,M40,1.5328795375112836,6.726726055145264,62
529_pollen,1,M50,1.5251197178188227,6.968989610671997,68
529_pollen,1,lightgbm,1.549077974724877,0.28719115257263184,0
529_pollen,1,xgboost,1.56211139743587,0.25968050956726074,0
529_pollen,2,M20,1.5328995118697302,8.685241937637329,62
529_pollen,2,M30,1.5346681823934765,7.943331241607666,70
529_pollen,2,M40,1.5253393759389182,9.980245590209961,118
529_pollen,2,M50,1.5315742324017316,7.041823625564575,68
529_pollen,2,lightgbm,1.5519585662716038,0.28391075134277344,0
529_pollen,2,xgboost,1.5626338807193612,0.20793366432189941,0
562_cpu_small,0,M20,2.5501843209604496,22.026867151260376,172
562_cpu_small,0,M30,2.5277887668816663,22.377649545669556,200
562_cpu_small,0,M40,2.5095515829915835,18.271238565444946,181
562_cpu_small,0,M50,2.5119300316536783,17.471588373184204,170
562_cpu_small,0,lightgbm,3.0734436371020597,0.33332014083862305,0
562_cpu_small,0,xgboost,3.087876827954788,0.284473180770874,0
562_cpu_small,1,M20,2.570059142444077,22.24034333229065,163
562_cpu_small,1,M30,2.584491137579153,20.93396234512329,178
562_cpu_small,1,M40,2.57041858706019,21.27392077445984,200
562_cpu_small,1,M50,2.5617440325338294,20.51099443435669,200
562_cpu_small,1,lightgbm,3.1188020805407275,0.33092737197875977,0
562_cpu_small,1,xgboost,3.1229050461214536,0.2688632011413574,0
562_cpu_small,2,M20,2.5759644012544483,18.843603372573853,145
562_cpu_small,2,M30,2.5087155958209557,17.809882640838623,157
562_cpu_small,2,M40,2.5486270066958445,19.724251747131348,200
562_cpu_small,2,M50,2.600050945667589,12.187782764434814,112
562_cpu_small,2,lightgbm,2.6838455027068604,0.3261270523071289,0
562_cpu_small,2,xgboost,2.5557369764684954,0.28034210205078125,0
564_fried,0,M20,1.076398603799767,40.36984348297119,172
564_fried,0,M30,1.0769284713068232,42.8340368270874,200
564_fried,0,M40,1.0740016170083242,37.253546953201294,175
564_fried,0,M50,1.0767812427136052,32.94876718521118,150
564_fried,0,lightgbm,1.0717159824143279,0.45651769638061523,0
564_fried,0,xgboost,1.0767128856148442,0.28944969177246094,0
564_fried,1,M20,1.0647816349831782,36.75592803955078,155
564_fried,1,M30,1.0622100713992586,34.6027672290802,151
564_fried,1,M40,1.064846122865357,27.53319764137268,119
564_fried,1,M50,1.0671543855521968,28.14245915412903,125
564_fried,1,lightgbm,1.0693487074106818,0.45114898681640625,0
564_fried,1,xgboost,1.07036349195117,0.24668550491333008,0
564_fried,2,M20,1.0718576511271067,31.820884466171265,133
564_fried,2,M30,1.0746621559022882,32.5718731880188,150
564_fried,2,M40,1.069424285796981,29.37821364402771,126
564_fried,2,M50,1.0686886613677293,27.565888166427612,124
564_fried,2,lightgbm,1.063536737972896,0.46050143241882324,0
564_fried,2,xgboost,1.065471274528147,0.24928593635559082,0
