dataset,seed,config,rmse,fit_time,n_rounds
192_vineyard,0,split_boost,2.669171950309712,0.7823705673217773,43
192_vineyard,0,lightgbm,2.394869161744873,0.1876838207244873,0
192_vineyard,0,xgboost,3.3188200231571314,0.31936144828796387,0
192_vineyard,1,split_boost,2.474065549008392,0.10410404205322266,69
192_vineyard,1,lightgbm,2.416480521235803,0.20206165313720703,0
192_vineyard,1,xgboost,3.5174159778582035,0.20559406280517578,0
192_vineyard,2,split_boost,3.120092403509776,0.06739926338195801,50
192_vineyard,2,lightgbm,4.522330858519903,0.13631963729858398,0
192_vineyard,2,xgboost,3.4760787990975484,0.24595928192138672,0
210_cloud,0,split_boost,0.7553498705859196,0.4936542510986328,57
210_cloud,0,lightgbm,0.8211330276337868,0.2255699634552002,0
210_cloud,0,xgboost,0.6706524403798934,0.21638846397399902,0
210_cloud,1,split_boost,0.32714405700625143,0.5369203090667725,68
210_cloud,1,lightgbm,0.6195381307646718,0.1873183250427246,0
210_cloud,1,xgboost,0.26930052032712154,0.18584299087524414,0
210_cloud,2,split_boost,0.5143328458478936,0.33948326110839844,42
210_cloud,2,lightgbm,0.5443704525314865,0.18707895278930664,0
210_cloud,2,xgboost,0.47924933346096116,0.2575993537902832,0
523_analcatdata_neavote,0,split_boost,0.7119844990649117,0.22487568855285645,55
523_analcatdata_neavote,0,lightgbm,0.7221038401480728,0.18128490447998047,0
523_analcatdata_neavote,0,xgboost,0.7684598681048703,0.17252326011657715,0
523_analcatdata_neavote,1,split_boost,1.1505629890921572,0.4742879867553711,114
523_analcatdata_neavote,1,lightgbm,1.0406932811027692,0.18015122413635254,0
523_analcatdata_neavote,1,xgboost,2.22081430199804,0.1072237491607666,0
523_analcatdata_neavote,2,split_boost,0.8952600865809981,0.263718843460083,66
523_analcatdata_neavote,2,lightgbm,0.8304391296290206,0.18859624862670898,0
523_analcatdata_neavote,2,xgboost,2.131466986818319,0.17445683479309082,0
557_analcatdata_apnea1,0,split_boost,1339.9763230843844,11.166277647018433,257
557_analcatdata_apnea1,0,lightgbm,1324.5080481522045,0.3238956928253174,0
557_analcatdata_apnea1,0,xgboost,1085.1441857592358,0.725374698638916,0
557_analcatdata_apnea1,1,split_boost,938.6660447527835,3.7677812576293945,86
557_analcatdata_apnea1,1,lightgbm,960.5008101839917,0.33651137351989746,0
557_analcatdata_apnea1,1,xgboost,888.7646094706614,0.7814035415649414,0
557_analcatdata_apnea1,2,split_boost,1594.9501667948816,3.5261659622192383,80
557_analcatdata_apnea1,2,lightgbm,1513.6472196392865,0.32834362983703613,0
557_analcatdata_apnea1,2,xgboost,1534.9617956999837,0.7197048664093018,0
529_pollen,0,split_boost,1.5791823343367366,14.589305877685547,80
529_pollen,0,lightgbm,1.6795008480798344,0.7526938915252686,0
529_pollen,0,xgboost,1.7445266959482417,1.312304973602295,0
529_pollen,1,split_boost,1.5462217872039448,16.11883521080017,103
529_pollen,1,lightgbm,1.6456294147840909,0.7398426532745361,0
529_pollen,1,xgboost,1.6498376529634167,1.2780215740203857,0
529_pollen,2,split_boost,1.549533976846882,13.64993166923523,67
529_pollen,2,lightgbm,1.6411759443223075,0.7256760597229004,0
529_pollen,2,xgboost,1.6518903512864853,1.2961933612823486,0
562_cpu_small,0,split_boost,2.575927335296122,33.34732508659363,121
562_cpu_small,0,lightgbm,3.146457601148597,1.1348295211791992,0
562_cpu_small,0,xgboost,3.353041879513156,1.836303472518921,0
562_cpu_small,1,split_boost,2.5987878953526042,52.17059779167175,205
562_cpu_small,1,lightgbm,3.22349907916879,1.1722877025604248,0
562_cpu_small,1,xgboost,3.3261111700464974,1.9274141788482666,0
562_cpu_small,2,split_boost,2.5738571431587047,40.396604776382446,147
562_cpu_small,2,lightgbm,2.6648645065720866,0.96756911277771,0
562_cpu_small,2,xgboost,2.645216328033223,1.9090063571929932,0
564_fried,0,split_boost,1.1098250257072546,128.89246606826782,117
564_fried,0,lightgbm,1.1234878659230807,3.0943658351898193,0
564_fried,0,xgboost,1.1359571752669282,2.8453900814056396,0
564_fried,1,split_boost,1.0893091441256304,130.38031697273254,120
564_fried,1,lightgbm,1.1177217282566523,3.0780463218688965,0
564_fried,1,xgboost,1.1321239968184265,2.8373591899871826,0
564_fried,2,split_boost,1.1082232588885088,131.59940552711487,123
564_fried,2,lightgbm,1.1299909669598438,3.0313591957092285,0
564_fried,2,xgboost,1.1400940276188127,2.770873546600342,0
