dataset,n_samples,n_features,hybrid_rmse,lightgbm_rmse,xgboost_rmse,hybrid_time,lightgbm_time,xgboost_time,hybrid_vs_xgb_ratio,hybrid_coverage
192_vineyard,52,2,1.9725773378069607,2.394869161744873,3.031196594024718,4.696964740753174,0.18660736083984375,0.21093988418579102,0.6507586283566784,1.0
210_cloud,108,5,nan,0.7733878259954807,0.6548276624528223,0.0,0.18602252006530762,0.17982006072998047,nan,
523_analcatdata_neavote,100,2,0.7355712669842597,0.7221038321376677,0.7684598681048703,2.593865156173706,0.19628548622131348,0.0895395278930664,0.957201927536283,6.539213615042172e-14
557_analcatdata_apnea1,475,3,1463.7020412503305,1375.555101787204,1137.8163504544639,9.110871076583862,0.22121858596801758,0.15321707725524902,1.2864132605105403,0.0
529_pollen,3848,4,2.9974923540605403,1.5999685134248525,1.611287235328607,22.225486040115356,0.2969655990600586,0.259169340133667,1.8603091294577467,1.0
562_cpu_small,8192,12,4.865247009315092,3.0734315606039413,3.087876827954788,26.88806128501892,0.3361802101135254,0.2886955738067627,1.5755962042493517,0.5659543595967542
564_fried,40768,10,1.7708963436123266,1.0716989104863703,1.0767128856148442,56.47871398925781,0.4881412982940674,0.2650926113128662,1.6447247611428715,0.6724830255776478
