dataset,seed,config,rmse,fit_time,n_rounds
192_vineyard,0,G0,2.3940507269875555,0.28237414360046387,16
192_vineyard,0,G_weak,2.3940507269875555,0.0023887157440185547,16
192_vineyard,0,G_strong,2.3940507269875555,0.0022869110107421875,16
192_vineyard,0,G_vstrong,2.3940507269875555,0.0023500919342041016,16
192_vineyard,0,B0,2.3940507269875555,0.002288341522216797,16
192_vineyard,0,B_strong,2.3940507269875555,0.002283334732055664,16
192_vineyard,0,lightgbm,2.394869161744873,0.1974949836730957,0
192_vineyard,0,xgboost,3.031196594024718,0.24822735786437988,0
192_vineyard,1,G0,2.6207781310901375,0.002597808837890625,16
192_vineyard,1,G_weak,2.6207781310901375,0.002329111099243164,16
192_vineyard,1,G_strong,2.6207781310901375,0.002660512924194336,16
192_vineyard,1,G_vstrong,2.6207781310901375,0.002293109893798828,16
192_vineyard,1,B0,2.6207781310901375,0.0023345947265625,16
192_vineyard,1,B_strong,2.6207781310901375,0.002301931381225586,16
192_vineyard,1,lightgbm,2.416480515587269,0.1572704315185547,0
192_vineyard,1,xgboost,3.420572478992733,0.14339184761047363,0
192_vineyard,2,G0,4.533681212858299,0.0033512115478515625,16
192_vineyard,2,G_weak,4.533681212858299,0.0023984909057617188,16
192_vineyard,2,G_strong,4.533681212858299,0.0027589797973632812,16
192_vineyard,2,G_vstrong,4.533681212858299,0.002355813980102539,16
192_vineyard,2,B0,4.533681212858299,0.002782583236694336,16
192_vineyard,2,B_strong,4.533681212858299,0.002370595932006836,16
192_vineyard,2,lightgbm,4.522330858519903,0.14570403099060059,0
192_vineyard,2,xgboost,3.4648272150676624,0.17750048637390137,0
210_cloud,0,G0,0.7460522918663641,0.7105708122253418,36
210_cloud,0,G_weak,0.7460522918663641,0.248396635055542,36
210_cloud,0,G_strong,0.7460522918663641,0.24813437461853027,36
210_cloud,0,G_vstrong,0.7460522918663641,0.2473607063293457,36
210_cloud,0,B0,0.7460522918663641,0.24782943725585938,36
210_cloud,0,B_strong,0.7460522918663641,0.246110200881958,36
210_cloud,0,lightgbm,0.7733878259954807,0.17287492752075195,0
210_cloud,0,xgboost,0.6548276624528223,0.1650233268737793,0
210_cloud,1,G0,0.44712417866133003,0.31115126609802246,45
210_cloud,1,G_weak,0.44712417866133003,0.3082756996154785,45
210_cloud,1,G_strong,0.44712417866133003,0.31051206588745117,45
210_cloud,1,G_vstrong,0.44712417866133003,0.3101472854614258,45
210_cloud,1,B0,0.44712417866133003,0.3091428279876709,45
210_cloud,1,B_strong,0.44712417866133003,0.3083381652832031,45
210_cloud,1,lightgbm,0.5469451649561609,0.1864941120147705,0
210_cloud,1,xgboost,0.2667452676137936,0.16766762733459473,0
210_cloud,2,G0,0.47321999342677645,0.1985001564025879,28
210_cloud,2,G_weak,0.47321999342677645,0.19772934913635254,28
210_cloud,2,G_strong,0.47321999342677645,0.20044350624084473,28
210_cloud,2,G_vstrong,0.47321999342677645,0.19589924812316895,28
210_cloud,2,B0,0.47321999342677645,0.19780731201171875,28
210_cloud,2,B_strong,0.47321999342677645,0.19614386558532715,28
210_cloud,2,lightgbm,0.49894731949600557,0.1727139949798584,0
210_cloud,2,xgboost,0.48159494104900924,0.13054537773132324,0
523_analcatdata_neavote,0,G0,0.71255130741443,0.08746767044067383,44
523_analcatdata_neavote,0,G_weak,0.71255130741443,0.08516144752502441,44
523_analcatdata_neavote,0,G_strong,0.71255130741443,0.08556747436523438,44
523_analcatdata_neavote,0,G_vstrong,0.71255130741443,0.08563709259033203,44
523_analcatdata_neavote,0,B0,0.71255130741443,0.08550262451171875,44
523_analcatdata_neavote,0,B_strong,0.71255130741443,0.08510160446166992,44
523_analcatdata_neavote,0,lightgbm,0.7221038321376677,0.16630840301513672,0
523_analcatdata_neavote,0,xgboost,0.7684598681048703,0.14195489883422852,0
523_analcatdata_neavote,1,G0,1.0519446479315437,0.21495795249938965,115
523_analcatdata_neavote,1,G_weak,1.0519446479315437,0.21382474899291992,115
523_analcatdata_neavote,1,G_strong,1.0519446479315437,0.21274375915527344,115
523_analcatdata_neavote,1,G_vstrong,1.0519446479315437,0.21388816833496094,115
523_analcatdata_neavote,1,B0,1.0519446479315437,0.2120521068572998,115
523_analcatdata_neavote,1,B_strong,1.0519446479315437,0.21415066719055176,115
523_analcatdata_neavote,1,lightgbm,1.0406932815404664,0.16440272331237793,0
523_analcatdata_neavote,1,xgboost,2.22081430199804,0.1219320297241211,0
523_analcatdata_neavote,2,G0,0.8336682313700277,0.1009819507598877,51
523_analcatdata_neavote,2,G_weak,0.8336682313700277,0.09989070892333984,51
523_analcatdata_neavote,2,G_strong,0.8336682313700277,0.09961724281311035,51
523_analcatdata_neavote,2,G_vstrong,0.8336682313700277,0.09909319877624512,51
523_analcatdata_neavote,2,B0,0.8336682313700277,0.0995028018951416,51
523_analcatdata_neavote,2,B_strong,0.8336682313700277,0.09947061538696289,51
523_analcatdata_neavote,2,lightgbm,0.8304391298325919,0.16563653945922852,0
523_analcatdata_neavote,2,xgboost,2.131466986818319,0.11081433296203613,0
557_analcatdata_apnea1,0,G0,1317.6230457680238,7.734305381774902,198
557_analcatdata_apnea1,0,G_weak,1304.814910092941,5.970804691314697,157
557_analcatdata_apnea1,0,G_strong,1317.995717703302,5.916555881500244,152
557_analcatdata_apnea1,0,G_vstrong,1299.4138025739524,5.249767303466797,136
557_analcatdata_apnea1,0,B0,1305.4152047860675,6.903252840042114,176
557_analcatdata_apnea1,0,B_strong,1301.1357298681307,7.108821630477905,187
557_analcatdata_apnea1,0,lightgbm,1375.5553005429697,0.2171480655670166,0
557_analcatdata_apnea1,0,xgboost,1137.8163504544639,0.19535517692565918,0
557_analcatdata_apnea1,1,G0,905.3016873883406,2.9976367950439453,79
557_analcatdata_apnea1,1,G_weak,911.1149213934843,2.8596527576446533,77
557_analcatdata_apnea1,1,G_strong,907.3965850679631,3.1552248001098633,82
557_analcatdata_apnea1,1,G_vstrong,924.8026740897515,3.310413122177124,87
557_analcatdata_apnea1,1,B0,896.0016183777087,3.013444185256958,78
557_analcatdata_apnea1,1,B_strong,909.5495050520027,3.0283968448638916,80
557_analcatdata_apnea1,1,lightgbm,1028.066146131376,0.2185375690460205,0
557_analcatdata_apnea1,1,xgboost,874.7259138465122,0.22015595436096191,0
557_analcatdata_apnea1,2,G0,1595.0749637265365,4.107555627822876,107
557_analcatdata_apnea1,2,G_weak,1619.5904492413688,3.834907293319702,98
557_analcatdata_apnea1,2,G_strong,1594.0365196785262,3.8289682865142822,101
557_analcatdata_apnea1,2,G_vstrong,1745.6931911766924,2.5502614974975586,65
557_analcatdata_apnea1,2,B0,1637.6727075903534,3.9338436126708984,102
557_analcatdata_apnea1,2,B_strong,1605.1408257866074,4.280901193618774,108
557_analcatdata_apnea1,2,lightgbm,1728.951573290779,0.21021246910095215,0
557_analcatdata_apnea1,2,xgboost,1358.6742417938733,0.2030351161956787,0
529_pollen,0,G0,1.5668256922545831,7.196820020675659,79
529_pollen,0,G_weak,1.556616517617659,6.968271970748901,70
529_pollen,0,G_strong,1.5657673118052762,6.512624979019165,66
529_pollen,0,G_vstrong,1.5703169628164364,7.673775672912598,80
529_pollen,0,B0,1.5677152442434992,5.61244010925293,44
529_pollen,0,B_strong,2.5450339365046375,6.791288614273071,66
529_pollen,0,lightgbm,1.5999685129803305,0.282238245010376,0
529_pollen,0,xgboost,1.611287235328607,0.2691483497619629,0
529_pollen,1,G0,1.529140934579963,8.523915767669678,96
529_pollen,1,G_weak,1.5382443469544795,5.993160963058472,53
529_pollen,1,G_strong,1.530690789404239,6.599500894546509,63
529_pollen,1,G_vstrong,3.5884941794899383,6.62811803817749,65
529_pollen,1,B0,1.5514907015977952,5.389559745788574,41
529_pollen,1,B_strong,1.5323434050381075,6.312522649765015,56
529_pollen,1,lightgbm,1.549017274472128,0.3088397979736328,0
529_pollen,1,xgboost,1.56211139743587,0.2605762481689453,0
529_pollen,2,G0,1.5314965246867491,7.067760229110718,68
529_pollen,2,G_weak,1.5307294806348941,7.457406044006348,77
529_pollen,2,G_strong,1.538746111335869,7.940256118774414,90
529_pollen,2,G_vstrong,1.5273618440837247,6.649129867553711,66
529_pollen,2,B0,1.5612791653120432,7.999839782714844,78
529_pollen,2,B_strong,1.5267434014565173,8.646552562713623,92
529_pollen,2,lightgbm,1.5517020112785833,0.27841663360595703,0
529_pollen,2,xgboost,1.5626338807193612,0.21117734909057617,0
562_cpu_small,0,G0,2.562994210305472,13.349766492843628,135
562_cpu_small,0,G_weak,98.60616945088921,17.071524620056152,177
562_cpu_small,0,G_strong,2.5365532639108577,12.47689151763916,117
562_cpu_small,0,G_vstrong,2.5236831205849493,19.70399308204651,194
562_cpu_small,0,B0,2469.7790423586275,7.627368211746216,61
562_cpu_small,0,B_strong,4856.2912092729375,9.231962203979492,80
562_cpu_small,0,lightgbm,3.0736514255237375,0.33106279373168945,0
562_cpu_small,0,xgboost,3.087876827954788,0.2790341377258301,0
562_cpu_small,1,G0,2.5624068724153903,13.389136552810669,121
562_cpu_small,1,G_weak,10.300440007971543,12.091670036315918,116
562_cpu_small,1,G_strong,2.615048642788517,18.44385576248169,179
562_cpu_small,1,G_vstrong,3773.2444930973934,17.226285219192505,157
562_cpu_small,1,B0,182510.48235329118,16.429195165634155,139
562_cpu_small,1,B_strong,341293.9424022216,20.423227310180664,157
562_cpu_small,1,lightgbm,3.1187575900175672,0.3842630386352539,0
562_cpu_small,1,xgboost,3.1229050461214536,0.26098179817199707,0
562_cpu_small,2,G0,563005.4918608046,20.53888988494873,186
562_cpu_small,2,G_weak,2.9836374243797863,4.749061822891235,30
562_cpu_small,2,G_strong,394594.90433412703,20.74310827255249,198
562_cpu_small,2,G_vstrong,313036.0750968539,19.81269335746765,182
562_cpu_small,2,B0,665978.2413292691,4.170534133911133,25
562_cpu_small,2,B_strong,314890.2954148995,4.120815277099609,25
562_cpu_small,2,lightgbm,2.683883607304328,0.3572061061859131,0
562_cpu_small,2,xgboost,2.5557369764684954,0.3248462677001953,0
564_fried,0,G0,1.0714184466847472,40.811750173568726,182
564_fried,0,G_weak,19018.9671011419,35.534706115722656,156
564_fried,0,G_strong,1.0742746172217086,31.995036602020264,143
564_fried,0,G_vstrong,1.0712294457293192,35.613420724868774,169
564_fried,0,B0,1.0667417407856645,42.06383013725281,200
564_fried,0,B_strong,1.0731977191444577,40.88530230522156,185
564_fried,0,lightgbm,1.0717144054871937,0.46084165573120117,0
564_fried,0,xgboost,1.0767128856148442,0.2508251667022705,0
564_fried,1,G0,13385.633306220372,32.342437982559204,153
564_fried,1,G_weak,1.0633497716155271,33.36439037322998,150
564_fried,1,G_strong,11375.619801448589,28.151317358016968,123
564_fried,1,G_vstrong,10851.509374217674,29.819209814071655,132
564_fried,1,B0,3.4901283597647863,34.539841175079346,154
564_fried,1,B_strong,11607.794026652919,34.470871925354004,150
564_fried,1,lightgbm,1.0693463728404407,0.45221757888793945,0
564_fried,1,xgboost,1.07036349195117,0.30140089988708496,0
564_fried,2,G0,1.0659612062505326,30.45445227622986,143
564_fried,2,G_weak,1.0702402947427563,29.71639585494995,127
564_fried,2,G_strong,1.0698227604509787,39.07058930397034,195
564_fried,2,G_vstrong,1.0725997141256907,33.40300726890564,145
564_fried,2,B0,2.268086039515374,8.242124319076538,24
564_fried,2,B_strong,1.0704234908242622,35.12659788131714,147
564_fried,2,lightgbm,1.0635207996788227,0.461653470993042,0
564_fried,2,xgboost,1.065471274528147,0.25225090980529785,0
