fraction_elementary,eml_win_rate,total_rounds
0.0,0.18333333333333332,60
0.1,0.15,60
0.25,0.2,60
0.5,0.1,60
0.75,0.11666666666666667,60
0.9,0.06666666666666667,60
1.0,0.06666666666666667,60
