dataset,n_samples,n_features,split_boost_rmse,lightgbm_rmse,xgboost_rmse,split_boost_time,lightgbm_time,xgboost_time,split_boost_vs_xgb_ratio,n_rounds_hybrid
192_vineyard,52,2,2.3940507269875555,2.394869161744873,3.031196594024718,0.26054835319519043,0.19324445724487305,0.23958325386047363,0.7898038456848547,16
210_cloud,108,5,0.7460522918663641,0.7733878259954807,0.6548276624528223,0.7073628902435303,0.17998838424682617,0.13982248306274414,1.1393108975754582,36
523_analcatdata_neavote,100,2,0.7084122911170984,0.7221038321376677,0.7684598681048703,0.09032821655273438,0.1717238426208496,0.08507013320922852,0.9218598400774556,44
557_analcatdata_apnea1,475,3,1284.99216214558,1375.5551002754123,1137.8163504544639,5.224114179611206,0.21686720848083496,0.15639853477478027,1.1293493555724803,139
529_pollen,3848,4,1.5611274334231091,1.5999685126600913,1.611287235328607,7.326744318008423,0.28861570358276367,0.20184636116027832,0.9688697329652287,81
562_cpu_small,8192,12,2.775039514999128,3.0736450852978483,3.087876827954788,5.267874240875244,0.3242025375366211,0.2145218849182129,0.8986885389587047,41
564_fried,40768,10,1.0703692270020801,1.0717048196919992,1.0767128856148442,36.1348397731781,0.46004509925842285,0.3116910457611084,0.9941083099333936,176
